id,link,text
0,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Plains-V1,Plaine (V.1)
1,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Swamp-V2,Marais (V.2)
2,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Minor-Misstep,Minor Misstep
3,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Sheoldreds-Edict,Sheoldred's Edict
4,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Island-V1,Île (V.1)
5,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Forest-V2,Forêt (V.2)
6,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Plains-V2,Plaine (V.2)
7,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Forest-V1,Forêt (V.1)
8,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Swamp-V1,Marais (V.1)
9,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Mountain-V1,Montagne (V.1)
10,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Island-V2,Île (V.2)
11,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Tyvars-Stand,Tyvar's Stand
12,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/The-Mycosynth-Gardens,The Mycosynth Gardens
13,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Venerated-Rotpriest,Venerated Rotpriest
14,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Mercurial-Spelldancer,Mercurial Spelldancer
15,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Mountain-V2,Montagne (V.2)
16,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Skrelvs-Hive,Skrelv's Hive
17,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Skrelv-Defector-Mite,"Skrelv, Defector Mite"
18,https://www.cardmarket.com/fr/Magic/Products/Singles/Dominaria-Remastered/Island-V1,Île (V.1)
19,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Bloated-Contaminator,Bloated Contaminator
20,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Plains-V1,Plaine (V.1)
21,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Swamp-V2,Marais (V.2)
22,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Minor-Misstep,Minor Misstep
23,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Sheoldreds-Edict,Sheoldred's Edict
24,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Island-V1,Île (V.1)
25,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Forest-V2,Forêt (V.2)
26,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Plains-V2,Plaine (V.2)
27,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Forest-V1,Forêt (V.1)
28,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Swamp-V1,Marais (V.1)
29,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Mountain-V1,Montagne (V.1)
30,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Island-V2,Île (V.2)
31,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Tyvars-Stand,Tyvar's Stand
32,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/The-Mycosynth-Gardens,The Mycosynth Gardens
33,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Venerated-Rotpriest,Venerated Rotpriest
34,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Mercurial-Spelldancer,Mercurial Spelldancer
35,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Mountain-V2,Montagne (V.2)
36,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Skrelvs-Hive,Skrelv's Hive
37,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Skrelv-Defector-Mite,"Skrelv, Defector Mite"
38,https://www.cardmarket.com/fr/Magic/Products/Singles/Dominaria-Remastered/Island-V1,Île (V.1)
